,226545_at
GSM158713.CEL.gz,6.98556674956753
GSM158724.CEL.gz,8.55504506139487
GSM158726.CEL.gz,8.02781882502066
GSM158729.CEL.gz,6.28220486327595
GSM158739.CEL.gz,7.837819556328
GSM158754.CEL.gz,7.24936679041357
GSM158762.CEL.gz,7.47160965231261
GSM158767.CEL.gz,6.25947437705268
GSM158768.CEL.gz,8.67793417617608
GSM158769.CEL.gz,9.0138031177572
GSM158770.CEL.gz,8.43519282563921
GSM158774.CEL.gz,6.44444365598133
GSM158779.CEL.gz,6.92783166190274
GSM158780.CEL.gz,7.89806491899165
GSM158783.CEL.gz,6.65993566527174
GSM158784.CEL.gz,9.0854542882119
GSM158785.CEL.gz,7.21337373549097
GSM158786.CEL.gz,5.73001230029596
GSM158789.CEL.gz,9.75810551439098
GSM158790.CEL.gz,6.13604794900393
GSM158793.CEL.gz,6.13710968054724
GSM158796.CEL.gz,9.49409905173802
GSM158797.CEL.gz,8.81387194961668
GSM158798.CEL.gz,7.36284381122458
GSM158805.CEL.gz,7.55725614365052
GSM158806.CEL.gz,5.68589440066992
GSM158809.CEL.gz,6.05730221243593
GSM158816.CEL.gz,9.47767020584102
GSM158821.CEL.gz,6.17160271433675
GSM158824.CEL.gz,7.38766988815675
GSM158835.CEL.gz,8.65804691875196
GSM158842.CEL.gz,8.8529139301853
GSM158843.CEL.gz,6.33242615026322
GSM158844.CEL.gz,10.151897587365
GSM158854.CEL.gz,9.70926895334153
GSM158856.CEL.gz,8.90776974566446
GSM158870.CEL.gz,7.75308555118772
GSM158875.CEL.gz,9.38729151606418
GSM158876.CEL.gz,6.11469135167559
GSM158883.CEL.gz,6.41840925192935
GSM158886.CEL.gz,9.126985762089
GSM158892.CEL.gz,5.94077236193884
GSM158893.CEL.gz,5.88932057224545
GSM158894.CEL.gz,5.93007500585109
GSM158895.CEL.gz,6.27534827803718
GSM158898.CEL.gz,6.6490967464123
GSM158917.CEL.gz,6.82153781724247
GSM158929.CEL.gz,8.02856381835897
GSM158932.CEL.gz,5.53941771734176
GSM158933.CEL.gz,8.7701723527934
GSM158934.CEL.gz,6.08523924045204
GSM158940.CEL.gz,5.64162048479363
GSM158941.CEL.gz,9.95574439300654
GSM158950.CEL.gz,5.96332379334754
GSM158951.CEL.gz,6.22880390152156
GSM158952.CEL.gz,7.00159177846714
GSM158958.CEL.gz,8.41899160074222
GSM158961.CEL.gz,8.44544365439589
GSM158963.CEL.gz,6.92951951088705
GSM158971.CEL.gz,6.00354977529378
GSM158974.CEL.gz,6.23434685796947
GSM158976.CEL.gz,6.41222913788945
GSM158977.CEL.gz,7.69937847877289
GSM158986.CEL.gz,5.80738412939713
GSM158995.CEL.gz,10.0716985005458
GSM159004.CEL.gz,5.56113024875609
GSM159010.CEL.gz,8.39232952446106
GSM159015.CEL.gz,6.51899464720653
GSM159022.CEL.gz,8.24855759343384
GSM159023.CEL.gz,8.38477845789179
GSM159025.CEL.gz,5.88052994876279
GSM159027.CEL.gz,6.6984746380353
GSM159036.CEL.gz,8.66120845823411
GSM159041.CEL.gz,7.63393243941027
GSM159048.CEL.gz,8.00228915904119
GSM159053.CEL.gz,5.51942307114739
GSM159055.CEL.gz,8.34003698680223
GSM159066.CEL.gz,7.74775495963977
GSM159077.CEL.gz,9.44689640288032
GSM159085.CEL.gz,6.99502482957837
GSM159089.CEL.gz,7.46918665159067
GSM159096.CEL.gz,6.26878781843002
GSM159098.CEL.gz,6.13305692655353
GSM159100.CEL.gz,9.65123199405647
GSM159106.CEL.gz,6.71913678684245
GSM159112.CEL.gz,5.80002341055886
GSM159113.CEL.gz,7.92413511829994
GSM159115.CEL.gz,6.03217513890949
GSM159125.CEL.gz,7.39741089321187
GSM159129.CEL.gz,6.40773174790817
